duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
1.050000,0.000000,0.000000,0.000000,0.240399,0.011338,-0.064163,-0.031653,0.021508,-0.000000,-0.000000,0.000000,-0.499035,0.159626,0.191807,-0.039574,-0.021960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.710000,0.198029,0.417038,0.088830,-0.237216,0.022458,0.003098,0.011755,-0.006264,-0.222802,-0.254742,0.394259,0.435578,-0.377607,-0.038529,0.029308,0.028535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.620000,0.461205,0.227630,-0.316355,-0.129393,0.043864,0.053862,0.022839,-0.028884,-0.145583,0.431593,0.261864,-0.367461,0.064687,0.004948,0.004399,-0.011810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.700000,0.461587,-0.231185,-0.332436,0.145920,0.101591,-0.026387,-0.046318,0.015301,0.144935,0.395592,-0.273599,-0.228130,0.006873,0.069158,0.049062,-0.038996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.560000,0.202682,-0.408496,0.069354,0.111915,-0.147515,-0.022579,0.013381,0.031318,0.225371,-0.212984,-0.456192,0.138851,0.141384,0.008889,-0.023787,-0.016585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.560000,0.000531,-0.329073,-0.003885,-0.134528,0.044707,0.049075,0.016238,-0.023637,0.000796,-0.501041,0.004445,0.342791,-0.047565,-0.030732,-0.014111,0.018613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.700000,-0.201402,-0.404190,-0.062973,0.095185,0.113211,-0.011383,-0.034558,0.006307,-0.224677,-0.222734,0.437576,0.154376,-0.085585,-0.073088,-0.029413,0.039961,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.620000,-0.460821,-0.240425,0.328512,0.172334,-0.104912,-0.048003,-0.010539,0.030193,-0.146229,0.414890,0.294563,-0.309359,-0.077854,0.037394,0.043503,-0.017377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.710000,-0.461967,0.236397,0.327406,-0.166461,-0.062641,0.014427,0.030264,-0.013289,0.144285,0.393809,-0.308292,-0.241198,0.143961,0.035051,0.000187,-0.017181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.053185,-0.199306,0.399070,-0.099978,-0.173195,0.050945,0.012254,0.012722,-0.002565,0.223520,-0.173298,-0.325553,0.192873,0.054583,0.078337,0.022161,-0.072442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
